location_id,country_iso_code,city
1764,UZ,Tashkent
1765,UZ,Tashkent
1766,UZ,Tashkent
1767,UZ,
1768,UZ,Tashkent
1769,UZ,Tashkent
1770,US,
1771,UZ,Tashkent
1772,UZ,Tashkent
1773,UZ,Tashkent
1774,UZ,Tashkent
1775,UZ,Tashkent
1776,UZ,Tashkent
1777,UZ,Tashkent
1778,UZ,Tashkent
1779,UZ,Tashkent
1780,UZ,Tashkent
1781,UZ,Tashkent
1782,UZ,Tashkent
1783,UZ,Tashkent
1784,UZ,Tashkent
1785,UZ,Tashkent
1786,UZ,Tashkent
1787,UZ,Andijan
1788,UZ,Tashkent
1789,UZ,Tashkent
1790,UZ,Tashkent
1791,UZ,Tashkent
1792,UZ,Tashkent
1793,UZ,Tashkent
1794,US,Ashburn
1795,UZ,Tashkent
1796,UZ,Tashkent
1797,UZ,Tashkent
1798,UZ,Tashkent
1799,UZ,Tashkent
1800,UZ,Tashkent
1801,UZ,Tashkent
1802,UZ,Tashkent
1803,UZ,Tashkent
1804,UZ,Tashkent
1805,UZ,Tashkent
1806,UZ,Tashkent
1807,UZ,Tashkent
1808,UZ,Tashkent
1809,UZ,Tashkent
1810,UZ,Tashkent
1811,UZ,Tashkent
1812,UZ,Tashkent
1813,UZ,Tashkent
1814,UZ,Tashkent
1815,UZ,Tashkent
1816,UZ,Tashkent
1817,UZ,Tashkent
1818,FR,Paris
1819,UZ,Tashkent
1820,UZ,Tashkent
1821,UZ,Tashkent
1822,UZ,Tashkent
1823,UZ,Tashkent
1824,UZ,Tashkent
1825,UZ,Tashkent
1826,UZ,Tashkent
1827,UZ,Tashkent
1828,UZ,Navoi
1829,UZ,Tashkent
1830,UZ,Namangan
1831,UZ,Tashkent
1832,UZ,Tashkent
1833,UZ,Tashkent
1834,UZ,
1835,UZ,Tashkent
1836,US,Ashburn
1837,UZ,Tashkent
1838,UZ,Tashkent
1839,RU,Vladimir
1840,UZ,Tashkent
1841,UZ,Tashkent
1842,UZ,Tashkent
1843,UZ,Tashkent
1844,UZ,Tashkent
1845,UZ,Tashkent
1846,UZ,Tashkent
1847,UZ,Tashkent
1848,UZ,Tashkent
1849,UZ,Tashkent
1850,UZ,Tashkent
1851,UZ,Tashkent
1852,UZ,Tashkent
1853,UZ,Navoi
1854,UZ,Tashkent
1855,UZ,Tashkent
1856,UZ,Tashkent
1857,UZ,Tashkent
1858,UZ,Tashkent
1859,UZ,Tashkent
1860,UZ,Samarkand
1861,UZ,Tashkent
1862,UZ,Tashkent
1863,UZ,Tashkent
1864,UZ,Tashkent
1865,UZ,Tashkent
1866,UZ,Tashkent
1867,UZ,
1868,UZ,Tashkent
1869,UZ,Tashkent
1870,UZ,
1871,UZ,Tashkent
1872,UZ,Tashkent
1873,UZ,Tashkent
1874,UZ,Tashkent
1875,UZ,Tashkent
1876,UZ,
1877,UZ,Tashkent
1878,UZ,Tashkent
1879,UZ,Tashkent
1880,UZ,Tashkent
1881,UZ,Tashkent
1882,TW,
1883,UZ,Tashkent
1884,UZ,Tashkent
1885,UZ,Tashkent
1886,UZ,Tashkent
1887,UZ,Tashkent
1888,UZ,Tashkent
1889,UZ,Tashkent
1890,UZ,Tashkent
1891,UZ,Tashkent
1892,UZ,Tashkent
1893,UZ,Tashkent
1894,UZ,Tashkent
1895,UZ,Tashkent
1896,UZ,Tashkent
1897,UZ,Tashkent
1898,UZ,Tashkent
1899,UZ,Tashkent
1900,UZ,Tashkent
1901,UZ,Tashkent
1902,UZ,Tashkent
1903,UZ,Tashkent
1904,UZ,Tashkent
1905,UZ,Tashkent
1906,UZ,Tashkent
1907,UZ,Tashkent
1908,UZ,Tashkent
1909,UZ,Tashkent
1910,UZ,Tashkent
1911,UZ,
