osys_id,os_name,os_version
1624,android,10
1625,android,10
1626,ios,17.0.3
1627,android,10
1628,android,10
1629,android,10
1630,android,10
1631,android,13
1632,android,10
1633,android,10
1634,android,10
1635,android,10
1636,android,10
1637,linux,
1638,ios,12.5.7
1639,android,13
1640,android,10
1641,android,13
1642,android,10
1643,android,8.1.0
1644,ios,17.0.2
1645,ios,16.6.1
1646,android,9
1647,ios,15.4.1
1648,android,13
1649,android,13
1650,ios,17.0.3
1651,android,10
1652,android,13
1653,android,10
1654,android,12
1655,android,10
1656,android,10
1657,ios,17.0
1658,ios,16.5
1659,ios,17.0.3
1660,android,10
1661,android,11
1662,android,11
1663,android,10
1664,ios,17.0.3
1665,ios,16.6.1
1666,android,10
1667,android,10
1668,android,10
1669,android,10
1670,android,10
1671,android,10
1672,,
1673,ios,17.1
1674,ios,17.0.3
1675,android,10
1676,android,13
1677,ios,17.1
1678,android,12
1679,android,12
1680,android,10
1681,ios,17.1
1682,ios,12.5.7
1683,ios,17.0.3
1684,android,10
1685,android,13
1686,android,13
1687,android,10
1688,android,10
1689,ios,16.6.1
1690,android,13
1691,android,12
1692,android,12
1693,android,10
1694,android,13
1695,android,10
1696,android,13
1697,android,12
1698,ios,16.7.1
1699,android,13
1700,android,13
1701,android,11
1702,ios,17.0.3
1703,ios,17.0.3
1704,android,10
1705,android,13
1706,android,10
1707,ios,17.0.1
1708,android,10
1709,android,13
1710,android,13
1711,android,10
1712,android,10
1713,android,10
1714,android,10
1715,ios,16.6.1
1716,,
1717,android,10
1718,,
1719,windows,10.0
1720,android,10
1721,android,13
1722,android,13
1723,ios,17.0.2
1724,android,12
1725,ios,16.4.1
1726,android,13
1727,android,12
1728,android,10
1729,android,10
1730,android,12
1731,android,10
1732,android,13
1733,android,13
1734,ios,16.6.1
1735,windows,10.0
1736,ios,17.0
1737,android,13
1738,android,10
1739,android,10
1740,android,10
1741,android,13
1742,android,13
1743,android,12
1744,android,10
1745,android,10
1746,android,10
1747,android,10
1748,android,13
1749,ios,16.0
1750,android,10
1751,,
1752,ios,17.0.3
1753,android,10
1754,android,10
1755,android,10
1756,android,10
1757,android,10
1758,android,10
1759,ios,16.2
1760,android,13
1761,ios,17.0.3
1762,windows,10.0
1763,android,10
1764,android,13
1765,android,10
1766,ios,16.6
1767,android,10
1768,android,10
1769,windows,10.0
1770,,
1771,ios,16.2
1772,ios,17.0.3
1773,ios,16.3.1
1774,android,10
1775,android,13
1776,android,10
1777,android,10
1778,android,13
1779,android,10
1780,android,10
1781,android,10
1782,android,10
1783,android,10
1784,android,13
1785,android,12
1786,ios,16.7.2
1787,ios,17.0.3
1788,android,10
1789,android,10
1790,android,10
1791,android,10
1792,ios,17.0.3
1793,android,13
1794,,
1795,ios,16.6.1
1796,android,10
1797,ios,16.3.1
1798,android,10
1799,android,12
1800,android,13
1801,macos,10.15.7
1802,ios,17.0.3
1803,android,13
1804,android,10
1805,android,13
1806,android,10
1807,android,13
1808,android,12
1809,android,13
1810,windows,10.0
1811,ios,15.4.1
1812,android,10
1813,windows,10.0
1814,android,10
1815,ios,17.1
1816,android,10
1817,ios,17.0.3
1818,android,10
1819,android,10
1820,android,10
1821,android,10
1822,android,12
1823,android,10
1824,android,9
1825,android,10
1826,android,10
1827,android,12
1828,android,12
1829,ios,16.7.2
1830,android,10
1831,ios,16.6
1832,android,10
1833,ios,15.6.1
1834,macos,10.15.7
1835,android,13
1836,,
1837,ios,16.6.1
1838,android,10
1839,,
