pub_id,publisher_id,publisher_name
1534,141586,Korzinka
1535,141586,Korzinka
1536,141586,Korzinka
1537,141586,Korzinka
1538,141586,Korzinka
1539,141586,Korzinka
1540,141586,Korzinka
1541,141586,Korzinka
1542,141586,Korzinka
1543,140056,Lebazar_old_app
1544,141586,Korzinka
1545,141586,Korzinka
1546,141586,Korzinka
1547,141586,Korzinka
1548,146464,?????????
1549,141586,Korzinka
1550,141586,Korzinka
1551,141586,Korzinka
1552,140056,Lebazar_old_app
1553,146464,?????????
1554,141586,Korzinka
1555,141586,Korzinka
1556,141586,Korzinka
1557,141586,Korzinka
1558,141586,Korzinka
1559,141586,Korzinka
1560,141586,Korzinka
1561,141586,Korzinka
1562,141586,Korzinka
1563,141586,Korzinka
1564,141586,Korzinka
1565,141586,Korzinka
1566,141586,Korzinka
1567,141601,???????
1568,141586,Korzinka
1569,146464,?????????
1570,141586,Korzinka
1571,141586,Korzinka
1572,141586,Korzinka
1573,141586,Korzinka
1574,141586,Korzinka
1575,141814,Lebazar_media
1576,141586,Korzinka
1577,141586,Korzinka
1578,140056,Lebazar_old_app
1579,141586,Korzinka
1580,141586,Korzinka
1581,141586,Korzinka
1582,141586,Korzinka
1583,140056,Lebazar_old_app
1584,141586,Korzinka
1585,141586,Korzinka
1586,141586,Korzinka
1587,141601,???????
1588,141586,Korzinka
1589,141586,Korzinka
1590,141586,Korzinka
1591,141586,Korzinka
1592,141586,Korzinka
1593,141586,Korzinka
1594,141586,Korzinka
1595,141586,Korzinka
1596,141586,Korzinka
1597,141586,Korzinka
1598,141586,Korzinka
1599,141586,Korzinka
1600,141586,Korzinka
1601,141586,Korzinka
1602,141586,Korzinka
1603,141586,Korzinka
1604,140056,Lebazar_old_app
1605,141586,Korzinka
1606,141586,Korzinka
1607,141586,Korzinka
1608,141586,Korzinka
1609,141586,Korzinka
1610,141586,Korzinka
1611,141586,Korzinka
1612,141586,Korzinka
1613,141586,Korzinka
1614,141586,Korzinka
1615,141586,Korzinka
1616,141586,Korzinka
1617,141586,Korzinka
1618,141586,Korzinka
1619,141586,Korzinka
1620,141586,Korzinka
1621,141586,Korzinka
1622,141586,Korzinka
1623,141601,???????
1624,141586,Korzinka
1625,141586,Korzinka
1626,141586,Korzinka
1627,141586,Korzinka
1628,141586,Korzinka
1629,141586,Korzinka
1630,141586,Korzinka
1631,141586,Korzinka
1632,141586,Korzinka
1633,141586,Korzinka
1634,141586,Korzinka
1635,141586,Korzinka
1636,141586,Korzinka
1637,141586,Korzinka
1638,146464,?????????
1639,141586,Korzinka
1640,141586,Korzinka
1641,141586,Korzinka
1642,141586,Korzinka
1643,141586,Korzinka
1644,141586,Korzinka
1645,141586,Korzinka
1646,141586,Korzinka
1647,141586,Korzinka
1648,141586,Korzinka
1649,141586,Korzinka
1650,141601,???????
1651,141586,Korzinka
1652,141586,Korzinka
1653,141586,Korzinka
1654,141586,Korzinka
1655,141601,???????
1656,141586,Korzinka
1657,141586,Korzinka
1658,141601,???????
