app_id,application_id,publisher_name
1481,4391677,Korzinka
1482,4391677,Korzinka
1483,4391677,Lebazar_old_app
1484,4391677,Korzinka
1485,4391677,Korzinka
1486,4391677,Korzinka
1487,4391677,Korzinka
1488,4391677,Korzinka
1489,4391677,???????
1490,4391677,Lebazar_old_app
1491,4391677,Korzinka
1492,4391677,Korzinka
1493,4391677,?????????
1494,4391677,Korzinka
1495,4391677,Korzinka
1496,4391677,Korzinka
1497,4391677,Korzinka
1498,4391677,Korzinka
1499,4391677,Korzinka
1500,4391677,Korzinka
1501,4391677,Korzinka
1502,4391677,Korzinka
1503,4391677,Korzinka
1504,4391677,Korzinka
1505,4391677,Korzinka
1506,4391677,Korzinka
1507,4391677,Korzinka
1508,4391677,Korzinka
1509,4391677,Korzinka
1510,4391677,Korzinka
1511,4391677,Korzinka
1512,4391677,Lebazar_old_app
1513,4391677,Korzinka
1514,4391677,Korzinka
1515,4391677,Korzinka
1516,4391677,Korzinka
1517,4391677,?????????
1518,4391677,Korzinka
1519,4391677,Korzinka
1520,4391677,Korzinka
1521,4391677,Lebazar_old_app
1522,4391677,Korzinka
1523,4391677,Lebazar_old_app
1524,4391677,Korzinka
1525,4391677,Korzinka
1526,4391677,Korzinka
1527,4391677,Korzinka
1528,4391677,Korzinka
1529,4391677,Korzinka
1530,4391677,Korzinka
1531,4391677,Korzinka
1532,4391677,Korzinka
1533,4391677,Korzinka
1534,4391677,Korzinka
1535,4391677,Korzinka
1536,4391677,Korzinka
1537,4391677,Korzinka
1538,4391677,Korzinka
1539,4391677,Korzinka
1540,4391677,Korzinka
1541,4391677,Korzinka
1542,4391677,Korzinka
1543,4391677,Lebazar_old_app
1544,4391677,Korzinka
1545,4391677,Korzinka
1546,4391677,Korzinka
1547,4391677,Korzinka
1548,4391677,?????????
1549,4391677,Korzinka
1550,4391677,Korzinka
1551,4391677,Korzinka
1552,4391677,Lebazar_old_app
1553,4391677,?????????
1554,4391677,Korzinka
1555,4391677,Korzinka
1556,4391677,Korzinka
1557,4391677,Korzinka
1558,4391677,Korzinka
1559,4391677,Korzinka
1560,4391677,Korzinka
1561,4391677,Korzinka
1562,4391677,Korzinka
1563,4391677,Korzinka
1564,4391677,Korzinka
1565,4391677,Korzinka
1566,4391677,Korzinka
1567,4391677,???????
1568,4391677,Korzinka
1569,4391677,?????????
1570,4391677,Korzinka
1571,4391677,Korzinka
1572,4391677,Korzinka
1573,4391677,Korzinka
1574,4391677,Korzinka
1575,4391677,Lebazar_media
1576,4391677,Korzinka
1577,4391677,Korzinka
1578,4391677,Lebazar_old_app
1579,4391677,Korzinka
1580,4391677,Korzinka
1581,4391677,Korzinka
1582,4391677,Korzinka
1583,4391677,Lebazar_old_app
1584,4391677,Korzinka
1585,4391677,Korzinka
1586,4391677,Korzinka
1587,4391677,???????
1588,4391677,Korzinka
1589,4391677,Korzinka
1590,4391677,Korzinka
1591,4391677,Korzinka
1592,4391677,Korzinka
1593,4391677,Korzinka
1594,4391677,Korzinka
1595,4391677,Korzinka
1596,4391677,Korzinka
1597,4391677,Korzinka
1598,4391677,Korzinka
1599,4391677,Korzinka
1600,4391677,Korzinka
1601,4391677,Korzinka
1602,4391677,Korzinka
1603,4391677,Korzinka
1604,4391677,Lebazar_old_app
1605,4391677,Korzinka
1606,4391677,Korzinka
1607,4391677,Korzinka
1608,4391677,Korzinka
1609,4391677,Korzinka
1610,4391677,Korzinka
1611,4391677,Korzinka
1612,4391677,Korzinka
1613,4391677,Korzinka
1614,4391677,Korzinka
1615,4391677,Korzinka
1616,4391677,Korzinka
1617,4391677,Korzinka
1618,4391677,Korzinka
1619,4391677,Korzinka
1620,4391677,Korzinka
1621,4391677,Korzinka
1622,4391677,Korzinka
1623,4391677,???????
1624,4391677,Korzinka
1625,4391677,Korzinka
1626,4391677,Korzinka
1627,4391677,Korzinka
1628,4391677,Korzinka
1629,4391677,Korzinka
1630,4391677,Korzinka
1631,4391677,Korzinka
1632,4391677,Korzinka
1633,4391677,Korzinka
1634,4391677,Korzinka
1635,4391677,Korzinka
1636,4391677,Korzinka
1637,4391677,Korzinka
1638,4391677,?????????
1639,4391677,Korzinka
1640,4391677,Korzinka
1641,4391677,Korzinka
1642,4391677,Korzinka
1643,4391677,Korzinka
1644,4391677,Korzinka
1645,4391677,Korzinka
1646,4391677,Korzinka
1647,4391677,Korzinka
1648,4391677,Korzinka
1649,4391677,Korzinka
1650,4391677,???????
1651,4391677,Korzinka
1652,4391677,Korzinka
1653,4391677,Korzinka
1654,4391677,Korzinka
1655,4391677,???????
1656,4391677,Korzinka
1657,4391677,Korzinka
1658,4391677,???????
1659,4391677,Korzinka
1660,4391677,Korzinka
1661,4391677,Korzinka
1662,4391677,Korzinka
1663,4391677,Korzinka
1664,4391677,Korzinka
1665,4391677,Korzinka
1666,4391677,Korzinka
1667,4391677,Korzinka
1668,4391677,Korzinka
1669,4391677,Korzinka
1670,4391677,Korzinka
1671,4391677,Korzinka
1672,4391677,???????
1673,4391677,Korzinka
1674,4391677,Lebazar_media
1675,4391677,Korzinka
1676,4391677,Lebazar_old_app
1677,4391677,Korzinka
1678,4391677,Korzinka
1679,4391677,Korzinka
1680,4391677,Korzinka
1681,4391677,Korzinka
1682,4391677,Korzinka
1683,4391677,Korzinka
1684,4391677,Korzinka
1685,4391677,Korzinka
1686,4391677,Korzinka
1687,4391677,Lebazar_old_app
1688,4391677,?????????
1689,4391677,?????????
1690,4391677,Korzinka
1691,4391677,Korzinka
1692,4391677,Korzinka
1693,4391677,Korzinka
1694,4391677,Lebazar_old_app
1695,4391677,Korzinka
1696,4391677,Korzinka
1697,4391677,Korzinka
1698,4391677,Lebazar_old_app
1699,4391677,Korzinka
1700,4391677,Korzinka
1701,4391677,Korzinka
1702,4391677,Korzinka
1703,4391677,Lebazar_old_app
1704,4391677,Korzinka
1705,4391677,Lebazar_old_app
1706,4391677,Korzinka
1707,4391677,Korzinka
1708,4391677,Korzinka
1709,4391677,Lebazar_old_app
1710,4391677,Korzinka
1711,4391677,Korzinka
1712,4391677,Korzinka
1713,4391677,Korzinka
1714,4391677,Korzinka
1715,4391677,Korzinka
1716,4391677,Korzinka
1717,4391677,Korzinka
1718,4391677,???????
1719,4391677,Korzinka
1720,4391677,Lebazar_old_app
1721,4391677,???????
1722,4391677,Korzinka
1723,4391677,Lebazar_old_app
1724,4391677,Korzinka
1725,4391677,Korzinka
1726,4391677,Korzinka
1727,4391677,Korzinka
1728,4391677,Korzinka
1729,4391677,Korzinka
1730,4391677,Korzinka
1731,4391677,Korzinka
1732,4391677,Korzinka
1733,4391677,Korzinka
1734,4391677,Korzinka
1735,4391677,Korzinka
1736,4391677,SMM Korzinka Go
1737,4391677,SMM Korzinka Go
1738,4391677,Korzinka
1739,4391677,Korzinka
1740,4391677,Korzinka
1741,4391677,Korzinka
1742,4391677,Korzinka
1743,4391677,Korzinka
1744,4391677,Korzinka
1745,4391677,Korzinka
1746,4391677,Korzinka
1747,4391677,Korzinka
1748,4391677,Korzinka
1749,4391677,Lebazar_media
1750,4391677,Korzinka
1751,4391677,Korzinka
1752,4391677,Korzinka
1753,4391677,Korzinka
1754,4391677,Korzinka
1755,4391677,Korzinka
1756,4391677,Korzinka
1757,4391677,???????
1758,4391677,Korzinka
1759,4391677,Korzinka
1760,4391677,Lebazar_old_app
1761,4391677,Lebazar_old_app
1762,4391677,Korzinka
1763,4391677,Korzinka
1764,4391677,Korzinka
1765,4391677,Korzinka
1766,4391677,Korzinka
1767,4391677,Korzinka
1768,4391677,Korzinka
1769,4391677,Korzinka
1770,4391677,???????
1771,4391677,Korzinka
1772,4391677,?????????
1773,4391677,Korzinka
1774,4391677,Korzinka
1775,4391677,Korzinka
1776,4391677,Korzinka
1777,4391677,Korzinka
1778,4391677,Korzinka
1779,4391677,Korzinka
1780,4391677,Korzinka
1781,4391677,Korzinka
1782,4391677,Korzinka
1783,4391677,Lebazar_old_app
1784,4391677,Korzinka
1785,4391677,Korzinka
1786,4391677,Korzinka
1787,4391677,Korzinka
1788,4391677,Korzinka
1789,4391677,Korzinka
1790,4391677,Korzinka
1791,4391677,Korzinka
1792,4391677,Korzinka
1793,4391677,Korzinka
1794,4391677,Korzinka
1795,4391677,Korzinka
1796,4391677,Korzinka
1797,4391677,Lebazar_old_app
1798,4391677,Korzinka
1799,4391677,Korzinka
1800,4391677,Korzinka
1801,4391677,Lebazar_old_app
1802,4391677,Korzinka
1803,4391677,Korzinka
1804,4391677,Korzinka
1805,4391677,?????????
1806,4391677,Korzinka
1807,4391677,Korzinka
1808,4391677,Korzinka
